"affected","implementer","year","flow","value"
"Australia","Argentina","2010","all",0.0381287788612902
"Brazil","Argentina","2010","all",0.577347766327029
"Canada","Argentina","2010","all",0.296638390347269
"China","Argentina","2010","all",0.690056037446015
"France","Argentina","2010","all",0.530266415572228
"Germany","Argentina","2010","all",0.522259589105439
"India","Argentina","2010","all",0.295931443205194
"Indonesia","Argentina","2010","all",0.527913829376711
"Italy","Argentina","2010","all",0.468913155592374
"Japan","Argentina","2010","all",0.591162061073326
"Mexico","Argentina","2010","all",0.685264515511887
"Republic of Korea","Argentina","2010","all",0.580144244798967
"Russia","Argentina","2010","all",0.0432618681562808
"South Africa","Argentina","2010","all",0.00474161326705742
"Turkey","Argentina","2010","all",0.372656135934276
"United Kingdom","Argentina","2010","all",0.281771828548896
"United States of America","Argentina","2010","all",0.431461620658683
"World","Argentina","2010","all",0.544758667555083
"Argentina","Australia","2010","all",0.0594277199759807
"Brazil","Australia","2010","all",0.042137160388763
"Canada","Australia","2010","all",0.0204041272125574
"China","Australia","2010","all",0.0129904474390572
"France","Australia","2010","all",0.0529159716588243
"Germany","Australia","2010","all",0.113697767903112
"India","Australia","2010","all",0.0198354360036444
"Indonesia","Australia","2010","all",0.00182998098683266
"Italy","Australia","2010","all",0.0367064550220759
"Japan","Australia","2010","all",0.263757958101112
"Mexico","Australia","2010","all",0.13892139255452
"Republic of Korea","Australia","2010","all",0.164769006278194
"Russia","Australia","2010","all",0.00847661095888513
"Saudi Arabia","Australia","2010","all",0
"South Africa","Australia","2010","all",0.299198307060828
"Turkey","Australia","2010","all",0.124210242020161
"United Kingdom","Australia","2010","all",0.0508984703330602
"United States of America","Australia","2010","all",0.050776640016911
"World","Australia","2010","all",0.087404456967595
"Argentina","Brazil","2010","all",0.00979013399924105
"Australia","Brazil","2010","all",1.43455037072633e-05
"Canada","Brazil","2010","all",0.00311167557029329
"China","Brazil","2010","all",0.1067984968604
"France","Brazil","2010","all",0.0115487372627148
"Germany","Brazil","2010","all",0.0209751919729486
"India","Brazil","2010","all",0.0752188551921782
"Indonesia","Brazil","2010","all",0.325529079751623
"Italy","Brazil","2010","all",0.0204722148328635
"Japan","Brazil","2010","all",0.0425597700481279
"Mexico","Brazil","2010","all",0.0229010231710831
"Republic of Korea","Brazil","2010","all",0.0575939433730156
"Russia","Brazil","2010","all",0.00266226360224379
"Saudi Arabia","Brazil","2010","all",0
"South Africa","Brazil","2010","all",0.0476133725816425
"Turkey","Brazil","2010","all",0.00891209531706832
"United Kingdom","Brazil","2010","all",0.0167345102000263
"United States of America","Brazil","2010","all",0.0362449562527975
"World","Brazil","2010","all",0.0401924937329847
"Argentina","Canada","2010","all",0.0857079898290791
"Australia","Canada","2010","all",0.194602593491761
"Brazil","Canada","2010","all",0.0394765028487691
"China","Canada","2010","all",0.0194961020418888
"France","Canada","2010","all",0.0859420464151381
"Germany","Canada","2010","all",0.207499939069574
"India","Canada","2010","all",0.00754151032793244
"Indonesia","Canada","2010","all",0.00443891215178792
"Italy","Canada","2010","all",0.0815620772249422
"Japan","Canada","2010","all",0.326775253842166
"Mexico","Canada","2010","all",0.168737530678262
"Republic of Korea","Canada","2010","all",0.295568934582358
"Russia","Canada","2010","all",0.000102278631417931
"Saudi Arabia","Canada","2010","all",0
"South Africa","Canada","2010","all",0.0471142314484244
"Turkey","Canada","2010","all",0
"United Kingdom","Canada","2010","all",0.0483167187337317
"United States of America","Canada","2010","all",0.13183121800787
"World","Canada","2010","all",0.128134146186863
"Argentina","China","2010","all",0.0554936476320433
"Australia","China","2010","all",0.691133543114126
"Brazil","China","2010","all",0.527051552434229
"Canada","China","2010","all",0.50463454550587
"France","China","2010","all",0.470969447884621
"Germany","China","2010","all",0.684919083292667
"India","China","2010","all",0.746118472652052
"Indonesia","China","2010","all",0.416561294838584
"Italy","China","2010","all",0.530363763878118
"Japan","China","2010","all",0.657589604404483
"Mexico","China","2010","all",0.647720365238907
"Republic of Korea","China","2010","all",0.734140065690547
"Russia","China","2010","all",0.305024393566747
"Saudi Arabia","China","2010","all",0.218256110371621
"South Africa","China","2010","all",0.452515372113359
"Turkey","China","2010","all",0.490447621236479
"United Kingdom","China","2010","all",0.537584081763403
"United States of America","China","2010","all",0.481215721402127
"World","China","2010","all",0.596504093505306
"Argentina","France","2010","all",0.239014857275296
"Australia","France","2010","all",0.0672691780722217
"Brazil","France","2010","all",0.0565169128154952
"Canada","France","2010","all",0.108089628741402
"China","France","2010","all",0.0461697991529609
"Germany","France","2010","all",0.178973248244673
"India","France","2010","all",0.0755422677005947
"Indonesia","France","2010","all",0.0263636643518693
"Italy","France","2010","all",0.0982175865650293
"Japan","France","2010","all",0.200324535632198
"Mexico","France","2010","all",0.0867657152668369
"Republic of Korea","France","2010","all",0.210723748608061
"Russia","France","2010","all",0.000962913107568121
"Saudi Arabia","France","2010","all",0
"South Africa","France","2010","all",0.141372568885812
"Turkey","France","2010","all",0.256980008505717
"United Kingdom","France","2010","all",0.157495309796942
"United States of America","France","2010","all",0.144949163457447
"World","France","2010","all",0.132409022015772
"Argentina","Germany","2010","all",0.159856901659541
"Australia","Germany","2010","all",0.247456954022727
"Brazil","Germany","2010","all",0.126828402230526
"Canada","Germany","2010","all",0.129828002478483
"China","Germany","2010","all",0.0567196721335251
"France","Germany","2010","all",0.089862357127808
"India","Germany","2010","all",0.0801735241722373
"Indonesia","Germany","2010","all",0.0404036155928041
"Italy","Germany","2010","all",0.0772618850394
"Japan","Germany","2010","all",0.049055725613571
"Mexico","Germany","2010","all",0.0827382590419921
"Republic of Korea","Germany","2010","all",0.153076018468549
"Russia","Germany","2010","all",0.155454818737947
"Saudi Arabia","Germany","2010","all",0.00596780456445297
"South Africa","Germany","2010","all",0.14964374483225
"Turkey","Germany","2010","all",0.0592997593798265
"United Kingdom","Germany","2010","all",0.0619205023781259
"United States of America","Germany","2010","all",0.051283453469676
"World","Germany","2010","all",0.0785838250216448
"Argentina","India","2010","all",0
"Australia","India","2010","all",0.0121983737948563
"Brazil","India","2010","all",0.00160681834129989
"Canada","India","2010","all",0.247227180234132
"China","India","2010","all",0.207033655716724
"France","India","2010","all",0.108136348736124
"Germany","India","2010","all",0.115254675656607
"Indonesia","India","2010","all",0.272661532496189
"Italy","India","2010","all",0.154937045258511
"Japan","India","2010","all",0.0856335445396158
"Mexico","India","2010","all",0
"Republic of Korea","India","2010","all",0.0531780299738596
"Russia","India","2010","all",0.114352643564493
"Saudi Arabia","India","2010","all",0.00208399179067963
"South Africa","India","2010","all",0.375125317558584
"Turkey","India","2010","all",0.00975055926568167
